candidate_id,first_name,last_name,date_of_birth,gender,country_of_origin,education_level,english_proficiency,japanese_proficiency,current_prefecture,current_city
CAND000027,Sarah,Miller,1984-08-24,Male,USA,Bachelor's Degree,5,3,Chiba,Funabashi
CAND000028,Daniel,Williams,1980-10-05,Male,USA,Master's Degree,5,4,Tokyo,Shinjuku
CAND000029,Charlotte,Brown,1979-07-31,Female,UK,Bachelor's Degree,5,1,Saitama,Tokorozawa
CAND000030,Noah,Collins,1981-06-04,Female,Australia,Master's Degree,5,1,Tokyo,Hachioji
CAND000031,Sarah,Miller,1992-06-23,Male,USA,Master's Degree,5,2,Tokyo,Koto
CAND000032,Liam,Anderson,1995-10-28,Male,Australia,Bachelor's Degree,5,2,Tokyo,Tachikawa
CAND000033,Sean,Murphy,1991-08-08,Male,Ireland,Master's Degree,5,2,Tokyo,Edogawa
CAND000034,Jessica,Davis,1991-07-05,Male,USA,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000035,James,Thompson,1994-12-13,Female,UK,Master's Degree,5,1,Tokyo,Itabashi
CAND000036,Joon-ho,Choi,1972-08-25,Male,South Korea,Bachelor's Degree,5,3,Saitama,Tokorozawa
CAND000037,Alejandro,García,1987-10-23,Female,Mexico,Bachelor's Degree,3,2,Tokyo,Nerima
CAND000038,Chloe,Mitchell,1981-08-16,Female,Australia,Bachelor's Degree,5,2,Saitama,Kawagoe
CAND000039,George,Davies,1998-03-02,Male,UK,Master's Degree,5,2,Tokyo,Itabashi
CAND000040,Emma,Thompson,1989-08-06,Male,Canada,Bachelor's Degree,5,2,Kanagawa,Yokohama
CAND000041,Ananya,Singh,1995-12-15,Female,India,Bachelor's Degree,4,2,Kanagawa,Yokohama
CAND000042,Jessica,Davis,2001-01-05,Male,USA,Bachelor's Degree,5,1,Chiba,Matsudo
CAND000043,John,Santos,1984-01-18,Female,Philippines,Bachelor's Degree,3,2,Tokyo,Koto
CAND000044,Michael,Johnson,1971-09-16,Male,USA,Bachelor's Degree,5,2,Tokyo,Setagaya
CAND000045,Kevin,Mwangi,1986-01-10,Female,Kenya,Master's Degree,4,2,Saitama,Koshigaya
CAND000046,Jessica,Davis,1971-04-16,Female,USA,Bachelor's Degree,5,1,Tokyo,Ota
CAND000047,Ha-eun,Jung,1971-02-25,Male,South Korea,Bachelor's Degree,5,1,Tokyo,Setagaya
CAND000048,Rahul,Mehta,1985-11-02,Female,India,Bachelor's Degree,4,1,Chiba,Kashiwa
CAND000049,Lucas,Anderson,1992-03-28,Female,Canada,Bachelor's Degree,5,2,Kanagawa,Yokohama
CAND000050,Olivia,Campbell,2000-02-08,Female,Australia,Bachelor's Degree,5,2,Tokyo,Tachikawa
CAND000051,Daniel,Williams,1982-12-14,Male,USA,Bachelor's Degree,5,2,Kanagawa,Yamato
CAND000052,Noah,Collins,2002-11-08,Male,Australia,Bachelor's Degree,5,3,Chiba,Matsudo
CAND000053,Min-jun,Kim,1998-04-27,Female,South Korea,Master's Degree,5,3,Tokyo,Edogawa
CAND000054,Alejandro,García,1988-07-17,Male,Mexico,Bachelor's Degree,5,1,Tokyo,Edogawa
CAND000055,John,Santos,1972-09-20,Female,Philippines,Bachelor's Degree,4,2,Kanagawa,Yokohama
CAND000056,Sophie,Evans,1971-04-17,Female,UK,Master's Degree,5,1,Tokyo,Nerima
CAND000057,Noah,Collins,1977-06-27,Female,Australia,Bachelor's Degree,5,2,Tokyo,Koto
CAND000058,Carlos,Hernández,1997-08-21,Male,Mexico,Bachelor's Degree,5,2,Tokyo,Setagaya
CAND000059,Michael,Johnson,1975-09-22,Female,USA,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000060,Sarah,Miller,1984-02-22,Male,USA,Master's Degree,5,1,Saitama,Kawaguchi
CAND000061,Charlotte,Brown,1974-02-22,Male,UK,Master's Degree,5,2,Chiba,Matsudo
CAND000062,Daniel,Williams,1993-07-06,Male,USA,Bachelor's Degree,5,2,Tokyo,Hachioji
CAND000063,Oliver,Wilson,1998-03-27,Female,UK,Bachelor's Degree,5,1,Tokyo,Setagaya
CAND000064,Mercy,Achieng,1975-07-26,Male,Kenya,Bachelor's Degree,4,1,Tokyo,Itabashi
CAND000065,Ethan,Martin,1972-08-11,Male,Canada,Bachelor's Degree,5,1,Tokyo,Setagaya
CAND000066,Michael,Johnson,1985-08-18,Male,USA,Bachelor's Degree,5,3,Saitama,Saitama
CAND000067,Ananya,Singh,1980-03-14,Female,India,Bachelor's Degree,4,2,Kanagawa,Atsugi
CAND000068,Maya,Brown,1999-07-02,Male,Canada,Bachelor's Degree,5,4,Kanagawa,Sagamihara
CAND000069,Oliver,Wilson,1991-01-17,Male,UK,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000070,Charlotte,Brown,1990-06-12,Male,UK,Master's Degree,5,3,Chiba,Urayasu
CAND000071,Ethan,Martin,1977-05-14,Male,Canada,Bachelor's Degree,5,2,Tokyo,Shinjuku
CAND000072,Olivia,Campbell,1988-09-01,Male,Australia,Bachelor's Degree,5,2,Saitama,Saitama
CAND000073,Carlos,Hernández,1970-04-29,Male,Mexico,Doctorate,4,3,Saitama,Asaka
CAND000074,Oliver,Wilson,2002-10-11,Male,UK,Bachelor's Degree,5,2,Saitama,Koshigaya
CAND000075,Ryan,Campbell,1974-07-17,Male,Canada,Bachelor's Degree,5,2,Kanagawa,Fujisawa
CAND000076,Amelia,Taylor,1992-09-21,Male,UK,Bachelor's Degree,5,2,Tokyo,Koto
CAND000077,Ethan,Martin,1995-06-29,Female,Canada,Bachelor's Degree,5,2,Tokyo,Koto
CAND000078,Charlotte,Brown,1990-06-12,Male,UK,Bachelor's Degree,5,2,Tokyo,Tachikawa
CAND000079,Emily,Carter,1973-12-30,Male,USA,Associate Degree,5,1,Tokyo,Nerima
CAND000080,Daniel,Kamau,1990-05-15,Female,Kenya,Bachelor's Degree,3,1,Tokyo,Setagaya
CAND000081,Jessica,Davis,1981-11-08,Female,USA,Bachelor's Degree,5,2,Saitama,Soka
CAND000082,Grace,Wanjiku,1975-06-26,Female,Kenya,Doctorate,4,1,Tokyo,Tachikawa
CAND000083,Oliver,Wilson,1992-03-28,Female,UK,Master's Degree,5,5,Tokyo,Itabashi
CAND000084,Sarah,Miller,2002-07-30,Male,USA,Master's Degree,5,4,Tokyo,Nerima
CAND000085,James,Thompson,1972-10-14,Female,UK,Bachelor's Degree,5,1,Tokyo,Edogawa
CAND000086,Rohan,Gupta,1999-11-16,Female,India,Bachelor's Degree,4,1,Saitama,Koshigaya
CAND000087,Michael,Johnson,1972-02-22,Male,USA,Bachelor's Degree,5,3,Tokyo,Itabashi
CAND000088,Jessica,Davis,1983-12-08,Female,USA,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000089,Sophie,Evans,1998-05-19,Female,UK,Bachelor's Degree,5,1,Kanagawa,Sagamihara
CAND000090,James,Thompson,1984-11-20,Female,UK,Bachelor's Degree,5,3,Saitama,Tokorozawa
CAND000091,George,Davies,1992-07-05,Female,UK,Master's Degree,5,2,Saitama,Saitama
CAND000092,Angela,Reyes,1983-05-12,Female,Philippines,Master's Degree,4,3,Kanagawa,Fujisawa
CAND000093,Michael,Johnson,1970-06-20,Male,USA,Bachelor's Degree,5,2,Tokyo,Nerima
CAND000094,Mark,Garcia,1998-09-25,Male,Philippines,Bachelor's Degree,5,2,Tokyo,Tachikawa
CAND000095,Jessica,Davis,1995-11-02,Male,USA,Master's Degree,5,1,Saitama,Saitama
CAND000096,Oliver,Wilson,1979-08-21,Female,UK,Bachelor's Degree,5,1,Kanagawa,Fujisawa
CAND000097,James,Anderson,2001-11-16,Female,USA,Bachelor's Degree,5,1,Tokyo,Itabashi
CAND000098,Rohan,Gupta,2002-06-08,Female,India,Master's Degree,3,1,Tokyo,Shinjuku
CAND000099,Patricia,Mendoza,1973-12-29,Female,Philippines,Associate Degree,4,2,Chiba,Kashiwa
CAND000100,Ji-woo,Park,1970-07-22,Female,South Korea,Doctorate,5,1,Saitama,Tokorozawa
CAND000101,Oliver,Wilson,1996-09-28,Female,UK,Bachelor's Degree,5,2,Tokyo,Shinjuku
CAND000102,Ananya,Singh,1975-07-06,Female,India,Bachelor's Degree,5,2,Saitama,Asaka
CAND000103,Arjun,Sharma,1971-09-28,Female,India,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000104,Emma,Thompson,1988-08-22,Female,Canada,Master's Degree,5,1,Chiba,Kashiwa
CAND000105,Neha,Kapoor,1998-03-05,Female,India,Master's Degree,4,5,Saitama,Wako
CAND000106,Amelia,Taylor,1987-11-21,Female,UK,Bachelor's Degree,5,4,Saitama,Wako
CAND000107,James,Thompson,1991-07-03,Female,UK,Bachelor's Degree,5,4,Tokyo,Nerima
CAND000108,Joon-ho,Choi,1995-03-05,Female,South Korea,Bachelor's Degree,5,1,Tokyo,Itabashi
CAND000109,Priya,Patel,1995-06-14,Male,India,Master's Degree,3,1,Kanagawa,Yamato
CAND000110,George,Davies,1978-11-19,Female,UK,Bachelor's Degree,5,1,Tokyo,Ota
CAND000111,Arjun,Sharma,1973-12-25,Male,India,Doctorate,5,1,Tokyo,Setagaya
CAND000112,Maria,Cruz,1970-01-09,Male,Philippines,Bachelor's Degree,3,2,Kanagawa,Kawasaki
CAND000113,Daniel,Williams,2000-04-21,Female,USA,Bachelor's Degree,5,1,Tokyo,Hachioji
CAND000114,Sofía,Martínez,1989-04-30,Female,Mexico,Master's Degree,4,1,Tokyo,Itabashi
CAND000115,Noah,Collins,1985-03-27,Male,Australia,Bachelor's Degree,5,2,Chiba,Kashiwa
CAND000116,Jessica,Davis,1983-11-26,Male,USA,Bachelor's Degree,5,2,Tokyo,Hachioji
CAND000117,Emily,Carter,1991-12-18,Male,USA,Associate Degree,5,4,Saitama,Saitama
CAND000118,Liam,Anderson,1983-07-20,Female,Australia,Bachelor's Degree,5,1,Saitama,Kawagoe
CAND000119,Mark,Garcia,1970-10-31,Male,Philippines,Bachelor's Degree,4,1,Tokyo,Shinjuku
CAND000120,Emily,Carter,1989-09-18,Female,USA,Master's Degree,5,2,Tokyo,Hachioji
CAND000121,Noah,Collins,1991-09-08,Male,Australia,Bachelor's Degree,5,2,Tokyo,Hachioji
CAND000122,Thabo,Mokoena,1984-10-19,Male,South Africa,Other,4,3,Tokyo,Hachioji
CAND000123,Ananya,Singh,1975-07-18,Male,India,Master's Degree,4,2,Chiba,Matsudo
CAND000124,Joshua,Aquino,1972-05-16,Male,Philippines,Bachelor's Degree,4,1,Saitama,Wako
CAND000125,Michael,Johnson,1973-03-02,Female,USA,Bachelor's Degree,5,3,Tokyo,Shinjuku
CAND000126,Chloe,Mitchell,1972-02-10,Male,Australia,Master's Degree,5,1,Saitama,Asaka
CAND000127,Charlotte,Brown,1976-04-21,Male,UK,Bachelor's Degree,5,1,Chiba,Funabashi
CAND000128,Luis,González,1976-08-14,Female,Mexico,Master's Degree,5,2,Tokyo,Koto
CAND000129,James,Thompson,1999-03-03,Female,UK,Doctorate,5,4,Tokyo,Tachikawa
CAND000130,Priya,Patel,1973-07-14,Female,India,Master's Degree,4,2,Kanagawa,Atsugi
CAND000131,Seo-yeon,Lee,1991-02-11,Female,South Korea,Associate Degree,4,2,Tokyo,Koto
CAND000132,Joshua,Aquino,1970-11-18,Female,Philippines,Master's Degree,5,2,Kanagawa,Yamato
CAND000133,Isla,Scott,1985-09-16,Male,New Zealand,Bachelor's Degree,5,2,Kanagawa,Yokohama
CAND000134,Sarah,Miller,2001-06-10,Female,USA,Master's Degree,5,1,Chiba,Ichikawa
CAND000135,Ananya,Singh,2002-08-02,Male,India,Master's Degree,4,2,Tokyo,Edogawa
CAND000136,Amelia,Taylor,1983-10-18,Female,UK,Master's Degree,5,1,Saitama,Wako
CAND000137,Ji-woo,Park,1979-03-08,Male,South Korea,Master's Degree,5,3,Tokyo,Setagaya
CAND000138,Seo-yeon,Lee,1987-11-07,Male,South Korea,Bachelor's Degree,4,2,Saitama,Kawagoe
CAND000139,George,Davies,2000-02-03,Male,UK,Bachelor's Degree,5,4,Kanagawa,Atsugi
CAND000140,Patricia,Mendoza,1973-08-27,Male,Philippines,Master's Degree,5,1,Tokyo,Setagaya
CAND000141,Rohan,Gupta,1993-11-09,Male,India,Bachelor's Degree,5,2,Tokyo,Itabashi
CAND000142,Daniel,Williams,1995-11-23,Male,USA,Bachelor's Degree,5,2,Kanagawa,Fujisawa
CAND000143,James,Anderson,2000-08-13,Male,USA,Master's Degree,5,3,Kanagawa,Yokohama
CAND000144,Oliver,Wilson,1998-09-22,Female,UK,Bachelor's Degree,5,2,Saitama,Tokorozawa
CAND000145,Ethan,Martin,1978-05-23,Male,Canada,Bachelor's Degree,5,3,Tokyo,Shinjuku
CAND000146,Sarah,Miller,2000-02-04,Female,USA,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000147,Rohan,Gupta,1992-12-01,Male,India,Bachelor's Degree,5,1,Chiba,Funabashi
CAND000148,Sarah,Miller,1995-10-20,Female,USA,Bachelor's Degree,5,2,Tokyo,Itabashi
CAND000149,Luis,González,1999-12-11,Male,Mexico,Bachelor's Degree,4,2,Saitama,Kawagoe
CAND000150,Sarah,Miller,1977-06-09,Female,USA,Other,5,1,Chiba,Urayasu
CAND000151,Liam,Anderson,1977-11-22,Female,Australia,Bachelor's Degree,5,1,Tokyo,Tachikawa
CAND000152,Chloe,Mitchell,1975-05-28,Male,Australia,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000153,Chloe,Mitchell,1994-01-26,Male,Australia,Master's Degree,5,2,Tokyo,Ota
CAND000154,Daniel,Williams,1981-12-02,Male,USA,Bachelor's Degree,5,4,Chiba,Urayasu
CAND000155,Ryan,Campbell,1999-12-31,Female,Canada,Associate Degree,5,4,Tokyo,Ota
CAND000156,Diego,López,1997-02-27,Male,Mexico,Bachelor's Degree,5,2,Chiba,Urayasu
CAND000157,Angela,Reyes,1988-03-24,Female,Philippines,Other,5,3,Saitama,Saitama
CAND000158,Mariana,Rodríguez,1981-05-13,Male,Mexico,Master's Degree,5,1,Kanagawa,Sagamihara
CAND000159,Amelia,Taylor,1997-04-03,Male,UK,Bachelor's Degree,5,1,Tokyo,Setagaya
CAND000160,Carlos,Hernández,1977-04-14,Male,Mexico,Bachelor's Degree,5,3,Tokyo,Itabashi
CAND000161,Seo-yeon,Lee,1982-12-25,Female,South Korea,Bachelor's Degree,4,1,Tokyo,Nerima
CAND000162,Jack,Taylor,1990-04-11,Male,Australia,Bachelor's Degree,5,1,Kanagawa,Sagamihara
CAND000163,Priya,Patel,1994-06-09,Female,India,Bachelor's Degree,5,2,Saitama,Kawagoe
CAND000164,Joon-ho,Choi,1975-02-28,Male,South Korea,Master's Degree,5,2,Tokyo,Tachikawa
CAND000165,Amelia,Taylor,1993-06-15,Male,UK,Bachelor's Degree,5,2,Tokyo,Nerima
CAND000166,Arjun,Sharma,1999-11-10,Male,India,Doctorate,5,2,Tokyo,Koto
CAND000167,Jack,Harris,2001-05-02,Male,New Zealand,Master's Degree,5,1,Tokyo,Setagaya
CAND000168,George,Davies,1994-10-13,Female,UK,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000169,Rahul,Mehta,1988-12-20,Female,India,Bachelor's Degree,5,2,Tokyo,Setagaya
CAND000170,Olivia,Campbell,1974-06-01,Female,Australia,Bachelor's Degree,5,1,Saitama,Wako
CAND000171,James,Thompson,1978-01-27,Female,UK,Other,5,1,Chiba,Chiba
CAND000172,Isla,Scott,1984-04-06,Male,New Zealand,Associate Degree,5,4,Tokyo,Edogawa
CAND000173,Patrick,Ryan,1970-10-25,Female,Ireland,Other,5,5,Kanagawa,Yamato
CAND000174,Oliver,Wilson,1984-02-17,Male,UK,Bachelor's Degree,5,1,Tokyo,Hachioji
CAND000175,Amelia,Taylor,1979-07-29,Female,UK,Bachelor's Degree,5,3,Kanagawa,Yamato
CAND000176,Lucas,Anderson,2001-11-28,Male,Canada,Bachelor's Degree,5,3,Saitama,Koshigaya
CAND000177,Ethan,Martin,1985-06-11,Female,Canada,Master's Degree,5,1,Kanagawa,Yamato
CAND000178,James,Thompson,1979-03-29,Male,UK,Doctorate,5,2,Chiba,Kashiwa
CAND000179,Daniel,Kamau,1990-07-11,Female,Kenya,Bachelor's Degree,5,2,Tokyo,Koto
CAND000180,Joon-ho,Choi,2001-10-08,Male,South Korea,Bachelor's Degree,5,4,Saitama,Kawaguchi
CAND000181,Alejandro,García,1986-05-22,Male,Mexico,Bachelor's Degree,5,4,Kanagawa,Yokohama
CAND000182,Amelia,Taylor,1995-11-16,Female,UK,Bachelor's Degree,5,2,Tokyo,Hachioji
CAND000183,Alejandro,García,1988-01-03,Male,Mexico,Master's Degree,5,1,Tokyo,Koto
CAND000184,Priya,Patel,1977-03-08,Female,India,Bachelor's Degree,5,3,Tokyo,Shinjuku
CAND000185,Emily,Carter,1975-10-30,Female,USA,Bachelor's Degree,5,3,Chiba,Funabashi
CAND000186,Angela,Reyes,1999-07-12,Female,Philippines,Master's Degree,4,2,Saitama,Tokorozawa
CAND000187,Emily,Carter,1989-02-28,Female,USA,Bachelor's Degree,5,1,Saitama,Saitama
CAND000188,Ava,Wilson,1997-08-16,Female,Canada,Bachelor's Degree,5,1,Chiba,Kashiwa
CAND000189,Mia,Walker,1993-03-04,Male,Australia,Bachelor's Degree,5,2,Tokyo,Ota
CAND000190,Ha-eun,Jung,1998-05-19,Female,South Korea,Doctorate,5,1,Saitama,Kawaguchi
CAND000191,Emily,Carter,1977-06-15,Female,USA,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000192,James,Anderson,2001-06-04,Male,USA,Bachelor's Degree,5,3,Kanagawa,Yokohama
CAND000193,Liam,Anderson,1971-10-19,Male,Australia,Bachelor's Degree,5,1,Saitama,Kawagoe
CAND000194,Emily,Carter,1977-09-02,Male,USA,Bachelor's Degree,5,1,Chiba,Matsudo
CAND000195,Daniel,Williams,2000-04-10,Female,USA,Bachelor's Degree,5,3,Tokyo,Shinjuku
CAND000196,Joon-ho,Choi,1997-10-27,Female,South Korea,Bachelor's Degree,5,3,Tokyo,Itabashi
CAND000197,Patricia,Mendoza,1973-05-02,Male,Philippines,Associate Degree,5,1,Tokyo,Ota
CAND000198,Lucas,Anderson,1996-06-13,Female,Canada,Associate Degree,5,2,Kanagawa,Fujisawa
CAND000199,Charlotte,Brown,1984-05-04,Male,UK,Master's Degree,5,1,Chiba,Urayasu
CAND000200,James,Thompson,1981-12-18,Female,UK,Master's Degree,5,2,Tokyo,Nerima
CAND000201,James,Thompson,1985-11-05,Female,UK,Bachelor's Degree,5,2,Chiba,Urayasu
CAND000202,Sophie,Evans,1997-04-25,Female,UK,Bachelor's Degree,5,5,Kanagawa,Kawasaki
CAND000203,Noah,Collins,1991-11-30,Female,Australia,Bachelor's Degree,5,2,Tokyo,Koto
CAND000204,Noah,Collins,1995-01-17,Male,Australia,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000205,Jason,Naidoo,1995-06-04,Female,South Africa,Bachelor's Degree,5,1,Saitama,Asaka
CAND000206,Patricia,Mendoza,1992-05-07,Female,Philippines,Bachelor's Degree,4,2,Tokyo,Itabashi
CAND000207,George,Davies,1971-10-14,Male,UK,Doctorate,5,1,Saitama,Asaka
CAND000208,Ruby,Taylor,1970-03-06,Male,New Zealand,Bachelor's Degree,5,1,Tokyo,Hachioji
CAND000209,Isla,Scott,1977-12-08,Female,New Zealand,Master's Degree,5,1,Tokyo,Koto
CAND000210,Grace,Wanjiku,1983-01-06,Male,Kenya,Bachelor's Degree,4,1,Kanagawa,Yokohama
CAND000211,Maria,Cruz,1997-02-28,Male,Philippines,Bachelor's Degree,4,2,Tokyo,Hachioji
CAND000212,Ananya,Singh,1984-05-30,Female,India,Bachelor's Degree,4,1,Tokyo,Koto
CAND000213,George,Davies,1983-01-01,Male,UK,Master's Degree,5,1,Tokyo,Hachioji
CAND000214,Patrick,Ryan,1975-10-18,Male,Ireland,Bachelor's Degree,5,1,Tokyo,Nerima
CAND000215,Ciara,Walsh,1973-06-11,Male,Ireland,Master's Degree,5,1,Saitama,Wako
CAND000216,Michael,Johnson,1978-09-01,Female,USA,Other,5,2,Saitama,Kawaguchi
CAND000217,Ji-woo,Park,2000-12-15,Male,South Korea,Bachelor's Degree,5,1,Kanagawa,Yokohama
CAND000218,Joon-ho,Choi,1986-03-29,Female,South Korea,Master's Degree,3,2,Tokyo,Nerima
CAND000219,James,Thompson,2001-08-19,Male,UK,Bachelor's Degree,5,1,Tokyo,Koto
CAND000220,Sarah,Miller,1991-06-21,Female,USA,Bachelor's Degree,5,3,Tokyo,Edogawa
CAND000221,Oliver,King,1992-07-19,Male,New Zealand,Bachelor's Degree,5,1,Chiba,Matsudo
CAND000222,Thabo,Mokoena,1988-03-15,Female,South Africa,Bachelor's Degree,4,2,Tokyo,Ota
CAND000223,Angela,Reyes,1996-04-07,Male,Philippines,Bachelor's Degree,5,2,Tokyo,Koto
CAND000224,Amelia,Taylor,1998-09-03,Female,UK,Bachelor's Degree,5,1,Chiba,Ichikawa
CAND000225,Jessica,Davis,1982-10-03,Female,USA,Associate Degree,5,3,Saitama,Wako
CAND000226,Jessica,Davis,2001-11-13,Male,USA,Bachelor's Degree,5,4,Tokyo,Tachikawa
CAND000227,Seo-yeon,Lee,1992-01-03,Male,South Korea,Bachelor's Degree,4,3,Tokyo,Tachikawa
CAND000228,Emily,Carter,1997-01-04,Female,USA,Other,5,4,Chiba,Ichikawa
CAND000229,Chloe,Mitchell,1983-02-23,Male,Australia,Bachelor's Degree,5,1,Tokyo,Hachioji
CAND000230,Daniel,Williams,1993-04-22,Female,USA,Master's Degree,5,1,Tokyo,Tachikawa
CAND000231,Mia,Walker,1996-07-07,Male,Australia,Associate Degree,5,3,Tokyo,Edogawa
CAND000232,Jack,Taylor,1975-11-19,Male,Australia,Bachelor's Degree,5,3,Kanagawa,Kawasaki
CAND000233,Emma,Thompson,1977-10-15,Female,Canada,Bachelor's Degree,5,1,Kanagawa,Fujisawa
CAND000234,Emily,Carter,2000-06-11,Female,USA,Bachelor's Degree,5,2,Tokyo,Hachioji
CAND000235,Jack,Taylor,1981-11-25,Male,Australia,Bachelor's Degree,5,2,Tokyo,Ota
CAND000236,Priya,Patel,1982-07-10,Male,India,Bachelor's Degree,5,1,Kanagawa,Sagamihara
CAND000237,Chloe,Mitchell,1981-05-30,Female,Australia,Bachelor's Degree,5,4,Kanagawa,Yokohama
CAND000238,George,Davies,1994-05-14,Male,UK,Bachelor's Degree,5,2,Tokyo,Itabashi
CAND000239,Emily,Carter,1992-08-13,Female,USA,Master's Degree,5,1,Tokyo,Nerima
CAND000240,Thabo,Mokoena,1988-07-28,Male,South Africa,Bachelor's Degree,5,1,Kanagawa,Yamato
CAND000241,Maya,Brown,1990-08-16,Female,Canada,Bachelor's Degree,5,2,Kanagawa,Sagamihara
CAND000242,Oliver,Wilson,1998-01-24,Female,UK,Bachelor's Degree,5,1,Saitama,Kawaguchi
CAND000243,Charlotte,Brown,1990-01-05,Male,UK,Bachelor's Degree,5,4,Saitama,Kawagoe
CAND000244,Luis,González,1975-10-19,Female,Mexico,Bachelor's Degree,4,3,Chiba,Urayasu
CAND000245,Lucas,Anderson,1996-10-12,Male,Canada,Bachelor's Degree,5,2,Saitama,Koshigaya
CAND000246,Amelia,Taylor,1999-08-28,Male,UK,Associate Degree,5,2,Kanagawa,Kawasaki
CAND000247,Joshua,Aquino,1991-08-15,Female,Philippines,Bachelor's Degree,5,2,Saitama,Koshigaya
CAND000248,Daniel,Williams,1987-06-15,Male,USA,Bachelor's Degree,5,3,Tokyo,Ota
CAND000249,Mia,Walker,1992-09-07,Female,Australia,Bachelor's Degree,5,1,Tokyo,Ota
CAND000250,Emily,Carter,1977-06-15,Male,USA,Bachelor's Degree,5,3,Chiba,Matsudo
CAND000251,Daniel,Williams,1991-08-15,Female,USA,Bachelor's Degree,5,2,Saitama,Kawagoe
CAND000252,George,Davies,1985-09-07,Male,UK,Bachelor's Degree,5,1,Tokyo,Shinjuku
CAND000253,Sarah,Miller,1998-02-18,Male,USA,Bachelor's Degree,5,2,Tokyo,Tachikawa
CAND000254,Rahul,Mehta,2000-10-02,Male,India,Bachelor's Degree,4,2,Chiba,Chiba
CAND000255,Jessica,Davis,1986-04-26,Female,USA,Associate Degree,5,1,Kanagawa,Yamato
CAND000256,Amelia,Taylor,1998-03-14,Male,UK,Bachelor's Degree,5,2,Tokyo,Itabashi
CAND000257,Patricia,Mendoza,1974-07-29,Male,Philippines,Bachelor's Degree,5,1,Chiba,Ichikawa
CAND000258,Jessica,Davis,2002-03-20,Male,USA,Master's Degree,5,3,Tokyo,Edogawa
CAND000259,Carlos,Hernández,1998-09-17,Female,Mexico,Bachelor's Degree,4,2,Kanagawa,Fujisawa
