employee_id,employee_type,first_name,last_name,date_of_birth,gender,country_of_origin,education_level,home_prefecture,home_city,english_proficiency,japanese_proficiency,hire_date,employment_start_date,employment_status,recruitment_source,initial_position,initial_level,current_position,current_level,current_salary
DUD000067,Head Office,Naoki,Suzuki,1983-08-22,Male,Japan,Bachelor's Degree,Tokyo,Tokorozawa,4,4,2020-08-27,2020-08-27,Active,Indeed,Finance,,Administration,,
DUD000068,Head Office,Ayumi,Nakamura,1987-09-11,Female,Japan,Bachelor's Degree,Saitama,Funabashi,4,4,2022-07-21,2022-07-21,Offboarded,University/College Partnership,Recruitment Staff,,Administration,,
DUD000069,Head Office,Kenji,Sato,1987-04-22,Female,Japan,Bachelor's Degree,Tokyo,Urayasu,4,4,2023-03-21,2023-03-21,Active,LinkedIn,Finance,,HR Staff,,
DUD000070,Head Office,Kenji,Sato,1996-06-22,Male,Japan,Bachelor's Degree,Chiba,Kawaguchi,4,4,2022-06-19,2022-06-19,Active,Recruitment Agency,Finance,,HR Staff,,
DUD000071,Head Office,Kenji,Sato,1977-05-28,Female,Japan,Bachelor's Degree,Saitama,Chiba,4,4,2021-06-29,2021-06-29,Active,Indeed,HR Staff,,Operations,,
DUD000072,Head Office,Mika,Yamamoto,1985-02-14,Male,Japan,Bachelor's Degree,Kanagawa,Fujisawa,4,4,2022-08-24,2022-08-24,Active,Job Fair,Finance,,Administration,,
DUD000073,Head Office,Hiroshi,Watanabe,1979-06-14,Female,Japan,Bachelor's Degree,Saitama,Urayasu,4,4,2022-09-23,2022-09-23,Active,Job Board,Recruitment Staff,,Recruitment Staff,,
DUD000074,Head Office,Yuki,Tanaka,1975-02-13,Male,Japan,Bachelor's Degree,Kanagawa,Fujisawa,4,4,2022-05-05,2022-05-05,Active,Company Website,Recruitment Staff,,Administration,,
DUD000075,Head Office,Ayumi,Nakamura,1995-05-14,Female,Japan,Bachelor's Degree,Saitama,Urayasu,4,4,2020-10-31,2020-10-31,Active,Job Fair,Recruitment Staff,,Finance,,
DUD000076,Head Office,Kenji,Sato,1981-09-07,Male,Japan,Bachelor's Degree,Saitama,Shinjuku,4,4,2022-04-20,2022-04-20,Active,LinkedIn,Administration,,Operations,,
DUD000077,Head Office,Ayumi,Nakamura,1987-12-12,Male,Japan,Bachelor's Degree,Tokyo,Atsugi,4,4,2023-11-14,2023-11-14,Active,Recruitment Agency,Finance,,Administration,,
DUD000078,Head Office,Hiroshi,Watanabe,1978-08-10,Female,Japan,Bachelor's Degree,Kanagawa,Kashiwa,4,4,2022-04-10,2022-04-10,Active,Recruitment Agency,HR Staff,,HR Staff,,
DUD000079,Head Office,Yuki,Tanaka,1975-12-06,Male,Japan,Bachelor's Degree,Tokyo,Asaka,4,4,2023-01-10,2023-01-10,On Leave,Social Media,Finance,,Administration,,
DUD000080,Head Office,Yuki,Tanaka,1997-01-21,Female,Japan,Bachelor's Degree,Kanagawa,Matsudo,4,4,2022-07-12,2022-07-12,Active,University/College Partnership,Administration,,HR Staff,,
DUD000081,Head Office,Yuki,Tanaka,1997-03-23,Male,Japan,Bachelor's Degree,Kanagawa,Tachikawa,4,4,2021-02-04,2021-02-04,Active,Job Board,Administration,,Administration,,
DUD000082,Head Office,Naoki,Suzuki,1998-01-31,Female,Japan,Bachelor's Degree,Kanagawa,Yokohama,4,4,2019-11-24,2019-11-24,Offboarded,Indeed,Operations,,Administration,,
DUD000083,Head Office,Hiroshi,Watanabe,1994-10-30,Female,Japan,Bachelor's Degree,Saitama,Kashiwa,4,4,2023-06-28,2023-06-28,Active,LinkedIn,Administration,,Finance,,
DUD000084,Head Office,Ayumi,Nakamura,1985-09-25,Female,Japan,Bachelor's Degree,Chiba,Hachioji,4,4,2021-12-18,2021-12-18,Active,Teacher Referral,HR Staff,,Recruitment Staff,,
DUD000085,Head Office,Kenji,Sato,1981-11-27,Male,Japan,Bachelor's Degree,Chiba,Matsudo,4,4,2021-11-01,2021-11-01,Offboarded,Employee Referral,Finance,,Recruitment Staff,,
DUD000086,Head Office,Mika,Yamamoto,1983-07-20,Female,Japan,Bachelor's Degree,Tokyo,Matsudo,4,4,2022-05-03,2022-05-03,Active,University/College Partnership,Operations,,Administration,,
DUD000087,Head Office,Kenji,Sato,1996-12-18,Female,Japan,Bachelor's Degree,Kanagawa,Fujisawa,4,4,2020-10-31,2020-10-31,Active,University/College Partnership,Operations,,Operations,,
DUD000088,Head Office,Mika,Yamamoto,1985-09-17,Male,Japan,Bachelor's Degree,Saitama,Yokohama,4,4,2021-10-19,2021-10-19,Offboarded,University/College Partnership,Finance,,Finance,,
DUD000089,Head Office,Mika,Yamamoto,1981-10-28,Male,Japan,Bachelor's Degree,Tokyo,Koshigaya,4,4,2022-12-20,2022-12-20,Active,Job Board,Finance,,HR Staff,,
DUD000090,Head Office,Hiroshi,Watanabe,1981-06-19,Male,Japan,Bachelor's Degree,Saitama,Tachikawa,4,4,2021-10-22,2021-10-22,Active,Recruitment Agency,Administration,,Operations,,
DUD000091,Head Office,Ayumi,Nakamura,1989-09-27,Male,Japan,Bachelor's Degree,Chiba,Yamato,4,4,2021-06-23,2021-06-23,Active,Company Website,Operations,,HR Staff,,
DUD000092,Head Office,Yuki,Tanaka,1987-11-22,Female,Japan,Bachelor's Degree,Tokyo,Yokohama,4,4,2022-10-14,2022-10-14,Active,International Recruitment,HR Staff,,Finance,,
DUD000093,Head Office,Yuki,Tanaka,1976-04-19,Female,Japan,Bachelor's Degree,Chiba,Nerima,4,4,2023-02-20,2023-02-20,Active,University/College Partnership,Administration,,Finance,,
DUD000094,Head Office,Yuki,Tanaka,1983-01-29,Female,Japan,Bachelor's Degree,Saitama,Ota,4,4,2020-08-13,2020-08-13,Active,Job Fair,Recruitment Staff,,Finance,,
DUD000095,Head Office,Hiroshi,Watanabe,1986-05-24,Male,Japan,Bachelor's Degree,Chiba,Tachikawa,4,4,2020-01-19,2020-01-19,Active,Recruitment Agency,Operations,,Recruitment Staff,,
DUD000096,Head Office,Kenji,Sato,1988-06-02,Male,Japan,Bachelor's Degree,Chiba,Fujisawa,4,4,2021-09-21,2021-09-21,Offboarded,Indeed,Finance,,Finance,,
DUD000097,Head Office,Kenji,Sato,1991-02-07,Male,Japan,Bachelor's Degree,Chiba,Ota,4,4,2020-07-29,2020-07-29,Active,Recruitment Agency,HR Staff,,Operations,,
DUD000098,Head Office,Ayumi,Nakamura,1977-03-14,Male,Japan,Bachelor's Degree,Chiba,Koshigaya,4,4,2023-08-11,2023-08-11,Active,Indeed,Recruitment Staff,,Operations,,
DUD000099,Head Office,Naoki,Suzuki,1981-02-18,Female,Japan,Bachelor's Degree,Tokyo,Matsudo,4,4,2023-01-18,2023-01-18,Active,Company Website,Operations,,Administration,,
DUD000100,Head Office,Ayumi,Nakamura,1988-03-28,Male,Japan,Bachelor's Degree,Kanagawa,Tokorozawa,4,4,2019-12-26,2019-12-26,Active,LinkedIn,Operations,,Administration,,
DUD100001,Teacher,Lucas,Anderson,1981-07-12,Female,Canada,Associate Degree,Kanagawa,Fujisawa,5,3,2023-01-17,2023-02-11,Active,Job Board,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100002,Teacher,Ciara,Walsh,1995-01-01,Male,Ireland,Bachelor's Degree,Chiba,Chiba,5,1,2020-08-19,2020-09-02,Active,Job Board,ALT / English Teacher,1,Trainer,4,280000
DUD100003,Teacher,Sophie,Evans,1974-11-11,Male,UK,Bachelor's Degree,Tokyo,Hachioji,5,1,2021-09-23,2021-10-13,Active,International Recruitment,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100004,Teacher,Amelia,Taylor,1976-04-09,Female,UK,Bachelor's Degree,Tokyo,Tachikawa,5,1,2021-11-17,2021-12-15,Active,LinkedIn,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100005,Teacher,Ciara,Walsh,1996-05-06,Male,Ireland,Master's Degree,Tokyo,Ota,5,2,2024-09-25,2024-10-14,Active,International Recruitment,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100006,Teacher,Daniel,Williams,1989-11-21,Female,USA,Bachelor's Degree,Tokyo,Itabashi,5,1,2023-05-14,2023-05-31,Offboarded,Indeed,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100007,Teacher,Michael,Johnson,1974-02-10,Male,USA,Bachelor's Degree,Saitama,Kawaguchi,5,1,2022-12-27,2023-01-03,Offboarded,Company Website,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100008,Teacher,Maria,Cruz,1980-06-14,Female,Philippines,Bachelor's Degree,Tokyo,Shinjuku,4,5,2020-09-14,2020-10-01,Active,Teacher Referral,ALT / English Teacher,1,Senior Teacher,3,270000
DUD100009,Teacher,Michael,Johnson,1980-09-03,Male,USA,Bachelor's Degree,Tokyo,Nerima,5,1,2023-12-20,2024-01-05,Active,Indeed,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100010,Teacher,George,Davies,1990-04-11,Female,UK,Bachelor's Degree,Kanagawa,Yokohama,5,3,2025-02-03,2025-02-12,Active,International Recruitment,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100011,Teacher,Sarah,Miller,1989-02-14,Male,USA,Master's Degree,Tokyo,Tachikawa,5,1,2020-02-25,2020-03-06,Active,LinkedIn,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100012,Teacher,Mariana,Rodríguez,1987-02-01,Male,Mexico,Other,Saitama,Asaka,5,2,2020-07-12,2020-08-08,Active,Recruitment Agency,ALT / English Teacher,1,Senior Trainer,5,290000
DUD100013,Teacher,Joon-ho,Choi,1980-04-01,Male,South Korea,Bachelor's Degree,Chiba,Matsudo,5,1,2024-01-13,2024-01-23,Active,Job Board,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100014,Teacher,Brian,Otieno,1973-10-30,Female,Kenya,Bachelor's Degree,Tokyo,Itabashi,5,2,2025-10-28,2025-11-27,Active,LinkedIn,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100015,Teacher,Daniel,Williams,1972-04-22,Male,USA,Associate Degree,Saitama,Koshigaya,5,1,2024-12-08,2024-12-14,Active,Indeed,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100016,Teacher,Seo-yeon,Lee,1975-02-26,Male,South Korea,Master's Degree,Saitama,Wako,5,4,2025-06-28,2025-06-28,Active,Teacher Referral,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100017,Teacher,John,Santos,1982-04-05,Female,Philippines,Master's Degree,Tokyo,Itabashi,4,1,2020-11-07,2020-11-25,Active,Employee Referral,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100018,Teacher,Oliver,King,1986-11-16,Female,New Zealand,Bachelor's Degree,Tokyo,Itabashi,5,1,2022-11-19,2022-12-13,Offboarded,Job Board,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100019,Teacher,John,Santos,1982-03-17,Female,Philippines,Bachelor's Degree,Tokyo,Tachikawa,5,1,2024-12-28,2024-12-31,Active,Company Website,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100020,Teacher,Mariana,Rodríguez,1993-08-21,Male,Mexico,Bachelor's Degree,Tokyo,Ota,5,1,2021-07-16,2021-07-25,Offboarded,LinkedIn,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100021,Teacher,Sarah,Miller,1977-11-18,Male,USA,Bachelor's Degree,Saitama,Tokorozawa,5,2,2023-03-21,2023-03-23,Active,Indeed,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100022,Teacher,Liam,Anderson,1995-10-30,Male,Australia,Bachelor's Degree,Tokyo,Ota,5,1,2023-10-16,2023-10-16,Offboarded,University/College Partnership,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100023,Teacher,Rahul,Mehta,1989-08-04,Female,India,Master's Degree,Tokyo,Ota,5,2,2022-09-22,2022-10-15,Active,Job Board,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100024,Teacher,Liam,Anderson,1985-09-03,Female,Australia,Bachelor's Degree,Kanagawa,Atsugi,5,3,2021-11-23,2021-11-26,Active,University/College Partnership,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100025,Teacher,Joshua,Aquino,1977-12-12,Female,Philippines,Associate Degree,Saitama,Asaka,5,3,2024-04-12,2024-05-03,Offboarded,Job Fair,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100026,Teacher,Alejandro,García,1973-01-23,Male,Mexico,Bachelor's Degree,Saitama,Soka,5,2,2020-01-29,2020-02-07,Active,LinkedIn,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100027,Teacher,Sophie,Evans,1997-08-03,Female,UK,Bachelor's Degree,Tokyo,Hachioji,5,4,2019-09-16,2019-09-30,Offboarded,Indeed,ALT / English Teacher,1,Senior Teacher,3,270000
DUD100028,Teacher,Michael,Johnson,1974-08-23,Male,USA,Master's Degree,Chiba,Urayasu,5,1,2021-03-07,2021-03-08,Active,Indeed,ALT / English Teacher,1,Senior Teacher,3,270000
DUD100029,Teacher,Olivia,Campbell,1986-09-22,Male,Australia,Associate Degree,Tokyo,Itabashi,5,2,2019-11-01,2019-11-26,Active,LinkedIn,ALT / English Teacher,1,Senior Teacher,3,270000
DUD100030,Teacher,Ava,Wilson,1981-04-21,Male,Canada,Master's Degree,Saitama,Kawagoe,5,1,2025-10-12,2025-11-02,Active,LinkedIn,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100031,Teacher,Ciara,Walsh,1975-10-14,Male,Ireland,Bachelor's Degree,Kanagawa,Fujisawa,5,2,2022-12-06,2023-01-01,Active,International Recruitment,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100032,Teacher,Thomas,Reid,1998-12-24,Female,New Zealand,Bachelor's Degree,Saitama,Kawaguchi,5,2,2021-04-08,2021-05-08,Active,Indeed,ALT / English Teacher,1,Experienced Teacher,2,260000
DUD100033,Teacher,Emily,Carter,1973-06-18,Female,USA,Bachelor's Degree,Chiba,Kashiwa,5,3,2025-02-24,2025-02-25,Active,International Recruitment,ALT / English Teacher,1,ALT / English Teacher,1,250000
DUD100034,Teacher,Mariana,Rodríguez,1976-12-02,Male,Mexico,Bachelor's Degree,Chiba,Kashiwa,5,1,2024-02-26,2024-02-27,Active,Job Board,ALT / English Teacher,1,Experienced Teacher,2,260000
