employee_id,first_name,last_name,employment_start_date,employment_end_date,employment_status,employment_type,position,career_level,start_reason,end_reason,offboarding_date,departure_type,leaving_reason,exit_satisfaction,would_recommend,would_return,rehire_eligible
DUD000027,Laura,Thompson,2024-08-09,NULL,Active,Full-time,Manager,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000028,Miguel,Young,2023-09-26,NULL,Active,Full-time,Client Relations,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000029,Daniel,Wilson,2022-10-31,NULL,Active,Full-time,Dispatch Staff,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000030,Sarah,Martinez,2022-12-26,NULL,Active,Full-time,HR Staff,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000031,John,King,2021-08-04,NULL,Active,Full-time,Recruiter,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000032,Daniel,Ramirez,2022-05-07,NULL,Active,Full-time,HR Staff,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000033,Juan,Johnson,2024-08-15,NULL,Active,Full-time,Manager,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000034,Juan,Lee,2023-07-17,NULL,Active,Full-time,Manager,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000035,Sarah,Wilson,2024-04-09,NULL,Active,Full-time,Recruiter,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000036,Andres,Sanchez,2024-08-16,NULL,Active,Full-time,Administrator,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000037,Marco,Davis,2022-08-10,NULL,Active,Full-time,Client Relations,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000038,John,Wilson,2022-12-28,NULL,Active,Full-time,Administrator,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000039,Michael,Torres,2020-03-01,NULL,Active,Full-time,Administrator,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000040,Miguel,Lee,2024-08-26,NULL,Active,Full-time,Dispatch Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000041,Hannah,Perez,2022-06-22,NULL,Active,Full-time,Client Relations,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000042,Sarah,White,2024-10-02,NULL,Active,Full-time,Client Relations,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000043,Emma,Perez,2021-11-06,NULL,Active,Full-time,Recruiter,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000044,Ana,Rodriguez,2022-10-15,NULL,Active,Full-time,Administrator,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000045,Michael,Hall,2024-09-18,NULL,Active,Full-time,Recruiter,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000046,Olivia,Johnson,2025-11-02,NULL,Active,Full-time,Administrator,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000047,Jessica,King,2022-01-07,NULL,Active,Full-time,Recruiter,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000048,Jose,Gonzalez,2020-10-07,NULL,Active,Full-time,Manager,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000049,Emily,Garcia,2025-04-20,NULL,Active,Full-time,Administrator,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000050,William,Hall,2020-11-01,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000051,Miguel,Hernandez,2022-08-18,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000052,Andres,Garcia,2025-04-03,NULL,Active,Full-time,Recruiter,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000053,Daniel,Wilson,2022-10-28,NULL,Active,Full-time,Dispatch Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000054,Alejandro,Martin,2021-06-25,NULL,Active,Full-time,Dispatch Staff,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000055,James,Martinez,2021-05-19,NULL,Active,Full-time,Manager,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000056,Marco,Gonzalez,2024-01-21,NULL,Active,Full-time,Administrator,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000057,Maria,Martinez,2023-12-27,NULL,Active,Full-time,Administrator,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000058,Emily,Hernandez,2022-03-10,NULL,Active,Full-time,Manager,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000059,David,Jackson,2024-03-27,NULL,Active,Full-time,HR Staff,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000060,Luis,Hall,2020-07-28,NULL,Active,Full-time,Manager,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000061,Robert,Moore,2023-07-06,NULL,Active,Full-time,Client Relations,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000062,Emma,Young,2021-07-04,NULL,Active,Full-time,Client Relations,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000063,Sofia,Allen,2021-07-05,NULL,Active,Full-time,Dispatch Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000064,Thomas,Anderson,2020-07-20,NULL,Active,Full-time,Administrator,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000065,Laura,Garcia,2021-01-28,NULL,Active,Full-time,Recruiter,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000066,Jose,Miller,2024-04-19,NULL,Active,Full-time,Manager,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000067,Juan,Martin,2025-12-09,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000068,Olivia,Jackson,2024-04-19,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000069,Carlos,Sanchez,2021-08-01,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000070,David,Perez,2022-03-25,NULL,Active,Full-time,Recruiter,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000071,Diego,Perez,2022-11-09,NULL,Active,Full-time,Client Relations,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000072,Sarah,Davis,2024-02-08,NULL,Active,Full-time,Dispatch Staff,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000073,Christopher,Johnson,2024-08-25,NULL,Active,Full-time,HR Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000074,John,Wilson,2021-10-17,NULL,Active,Full-time,Recruiter,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000075,Jessica,King,2023-12-15,NULL,Active,Full-time,Manager,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000076,David,Garcia,2021-03-17,NULL,Active,Full-time,Client Relations,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000077,David,Rodriguez,2025-12-13,NULL,Active,Full-time,Manager,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000078,Hannah,Taylor,2024-04-08,NULL,Active,Full-time,Manager,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000079,Michael,Allen,2021-04-04,NULL,Active,Full-time,Dispatch Staff,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000080,Ana,Perez,2024-08-04,NULL,Active,Full-time,HR Staff,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000081,Carlos,White,2025-03-12,NULL,Active,Full-time,Manager,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000082,Olivia,Allen,2025-04-12,NULL,Active,Full-time,Recruiter,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000083,Emily,Lee,2021-11-14,NULL,Active,Full-time,Dispatch Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000084,Maria,Gonzalez,2021-07-01,NULL,Active,Full-time,Manager,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000085,Miguel,White,2021-04-23,NULL,Active,Full-time,Administrator,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000086,Hannah,Moore,2025-06-28,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000087,Michael,Martin,2022-09-20,NULL,Active,Full-time,HR Staff,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000088,Maria,Anderson,2020-01-23,NULL,Active,Full-time,Administrator,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000089,Hannah,Hernandez,2025-06-10,NULL,Active,Full-time,Client Relations,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000090,Daniel,Garcia,2023-05-31,NULL,Active,Full-time,HR Staff,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000091,Jose,Young,2025-11-01,NULL,Active,Full-time,Dispatch Staff,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000092,Christopher,Taylor,2021-03-20,NULL,Active,Full-time,Client Relations,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000093,Laura,Hall,2020-07-18,NULL,Active,Full-time,HR Staff,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000094,Juan,Davis,2024-03-11,NULL,Active,Full-time,Administrator,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000095,Diego,Young,2025-03-04,NULL,Active,Full-time,HR Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000096,Robert,Lee,2020-06-13,NULL,Active,Full-time,HR Staff,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000097,Michael,King,2022-10-13,NULL,Active,Full-time,Manager,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000098,Daniel,Torres,2022-02-22,NULL,Active,Full-time,Dispatch Staff,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000099,Laura,Martinez,2022-12-22,NULL,Active,Full-time,Client Relations,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD000100,Marco,Hall,2025-07-18,NULL,Active,Full-time,Client Relations,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100001,Andres,Allen,2024-01-19,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100002,Diego,Allen,2024-10-19,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100003,Carlos,Miller,2024-03-08,2025-05-20,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,2025-05-20,Involuntary,Policy Violation,5,1,0,0
DUD100004,Juan,Rodriguez,2022-07-08,NULL,Active,Full-time,Trainer,4,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100005,Matthew,White,2023-05-15,2025-10-29,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,2025-10-29,Involuntary,Client Request,1,1,0,0
DUD100006,Laura,Martin,2022-08-08,NULL,Active,Full-time,Senior Trainer,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100007,Emily,King,2024-08-06,NULL,Active,Full-time,Senior Teacher,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100008,Maria,Hernandez,2022-01-20,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100009,Carlos,Hernandez,2024-07-22,2026-11-04,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,2026-11-04,Voluntary,Commute,NULL,NULL,NULL,1
DUD100010,James,Sanchez,2021-09-03,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100011,Diego,Ramirez,2024-12-10,NULL,Active,Full-time,Senior Teacher,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100012,Marco,Garcia,2026-08-10,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100013,Jose,Perez,2025-08-25,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100014,Jessica,Miller,2021-12-20,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100015,Jessica,Garcia,2024-03-27,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100016,Andres,Allen,2024-02-19,NULL,Active,Full-time,Senior Trainer,5,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100017,Ana,Torres,2021-01-13,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100018,Juan,Wilson,2024-02-15,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100019,David,Moore,2023-09-20,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100020,Jessica,Allen,2026-07-16,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100021,Ana,Allen,2026-05-19,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100022,Ana,Brown,2022-01-11,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100023,Carlos,Moore,2022-11-02,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100024,Daniel,Taylor,2025-05-12,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100025,Marco,King,2025-03-25,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100026,Miguel,Miller,2021-10-23,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100027,Thomas,Taylor,2023-08-17,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100028,Matthew,Johnson,2025-05-24,2027-03-26,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,2027-03-26,Voluntary,Compensation,5,1,1,1
DUD100029,Olivia,Rodriguez,2021-05-17,2023-07-01,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,2023-07-01,Voluntary,Personal Reasons,2,1,1,1
DUD100030,Sofia,Thompson,2023-08-13,2024-08-01,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Contract End,2024-08-01,Voluntary,Returning Home,2,0,1,1
DUD100031,Ana,Moore,2025-02-25,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100032,Andres,Brown,2026-01-18,2028-04-26,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Career Change,2028-04-26,Involuntary,Performance,NULL,NULL,NULL,0
DUD100033,Matthew,King,2026-03-12,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100034,Andres,Williams,2025-04-28,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100035,John,Davis,2025-01-25,2026-02-21,Inactive,Full-time,Senior Teacher,3,Initial Hire,Voluntary Resignation,2026-02-21,Voluntary,Personal Reasons,2,0,0,1
DUD100036,Matthew,Hall,2025-05-12,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100037,Emma,Garcia,2022-07-02,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100038,Sarah,Taylor,2022-02-12,2023-12-13,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,2023-12-13,Voluntary,Career Change,1,1,1,1
DUD100039,William,Rodriguez,2021-12-04,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100040,Ana,Ramirez,2024-02-12,NULL,Active,Full-time,Senior Teacher,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100041,Juan,Allen,2024-10-24,NULL,Active,Full-time,Senior Teacher,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100042,Daniel,Ramirez,2025-04-13,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100043,Daniel,Brown,2021-07-09,2021-12-25,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Personal Reasons,2021-12-25,Involuntary,Performance,1,0,1,0
DUD100044,Olivia,Hernandez,2024-09-14,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100045,Emily,Sanchez,2024-01-18,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100046,Daniel,Allen,2025-01-19,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100047,Alejandro,Allen,2022-01-31,2022-11-19,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,2022-11-19,Voluntary,Assignment Issues,NULL,NULL,NULL,1
DUD100048,Jessica,Williams,2022-03-17,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100049,Sofia,Gonzalez,2024-11-25,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100050,Diego,Young,2025-08-16,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100051,James,Moore,2022-09-21,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100052,Robert,Brown,2022-12-28,2025-01-24,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Performance,2025-01-24,Voluntary,Assignment Issues,1,1,1,1
DUD100053,Thomas,White,2022-02-24,2024-02-21,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Performance,2024-02-21,Voluntary,Assignment Issues,2,1,1,1
DUD100054,Olivia,Thompson,2024-11-22,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100055,Maria,Moore,2023-02-11,2024-12-20,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Relocation,2024-12-20,Voluntary,Assignment Issues,2,1,0,1
DUD100056,Marco,Anderson,2022-12-12,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100057,Jessica,Walker,2022-02-06,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100058,Christopher,Lopez,2025-05-30,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100059,Maria,Anderson,2024-03-11,2025-01-07,Inactive,Full-time,ALT / English Teacher,1,Initial Hire,Career Change,2025-01-07,Involuntary,Policy Violation,5,1,1,0
DUD100060,Sofia,Thompson,2026-01-03,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100061,William,Thompson,2022-08-12,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100062,Emily,Lopez,2022-01-07,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100063,Michael,Martinez,2021-04-01,2022-02-01,Inactive,Full-time,Trainer,4,Initial Hire,Performance,2022-02-01,Involuntary,Attendance,4,1,0,0
DUD100064,Jessica,Martin,2021-06-06,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100065,Matthew,King,2023-09-05,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100066,Sofia,Martinez,2024-02-12,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100067,Jessica,Allen,2024-05-20,NULL,Active,Full-time,Senior Teacher,3,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100068,Robert,Davis,2026-07-16,NULL,Active,Full-time,ALT / English Teacher,1,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100069,Maria,Lee,2026-03-22,2027-07-03,Inactive,Full-time,Experienced Teacher,2,Initial Hire,Relocation,2027-07-03,Voluntary,Assignment Issues,5,1,0,1
DUD100070,Diego,Gonzalez,2023-03-07,NULL,Active,Full-time,Experienced Teacher,2,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100071,Miguel,Williams,2023-06-20,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DUD100072,Hannah,Torres,2021-01-10,NULL,Active,Full-time,Lead Trainer,6,Initial Hire,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
